"epoch","UNet_w32_lr1e-3 - val_nrmse","UNet_w32_lr1e-3 - val_nrmse__MIN","UNet_w32_lr1e-3 - val_nrmse__MAX","UNet_w32_lr1e-3 - _step","UNet_w32_lr1e-3 - _step__MIN","UNet_w32_lr1e-3 - _step__MAX","UNet_w32_lr5e-4 - val_nrmse","UNet_w32_lr5e-4 - val_nrmse__MIN","UNet_w32_lr5e-4 - val_nrmse__MAX","UNet_w32_lr5e-4 - _step","UNet_w32_lr5e-4 - _step__MIN","UNet_w32_lr5e-4 - _step__MAX","UNet_w64_lr5e-4 - val_nrmse","UNet_w64_lr5e-4 - val_nrmse__MIN","UNet_w64_lr5e-4 - val_nrmse__MAX","UNet_w64_lr5e-4 - _step","UNet_w64_lr5e-4 - _step__MIN","UNet_w64_lr5e-4 - _step__MAX","UNet_w64_lr1e-3 - val_nrmse","UNet_w64_lr1e-3 - val_nrmse__MIN","UNet_w64_lr1e-3 - val_nrmse__MAX","UNet_w64_lr1e-3 - _step","UNet_w64_lr1e-3 - _step__MIN","UNet_w64_lr1e-3 - _step__MAX","FNO_w32_m12_lr5e-4 - val_nrmse","FNO_w32_m12_lr5e-4 - val_nrmse__MIN","FNO_w32_m12_lr5e-4 - val_nrmse__MAX","FNO_w32_m12_lr5e-4 - _step","FNO_w32_m12_lr5e-4 - _step__MIN","FNO_w32_m12_lr5e-4 - _step__MAX","FNO_w64_m12_lr1e-3 - val_nrmse","FNO_w64_m12_lr1e-3 - val_nrmse__MIN","FNO_w64_m12_lr1e-3 - val_nrmse__MAX","FNO_w64_m12_lr1e-3 - _step","FNO_w64_m12_lr1e-3 - _step__MIN","FNO_w64_m12_lr1e-3 - _step__MAX","FNO_w32_m20_lr5e-4 - val_nrmse","FNO_w32_m20_lr5e-4 - val_nrmse__MIN","FNO_w32_m20_lr5e-4 - val_nrmse__MAX","FNO_w32_m20_lr5e-4 - _step","FNO_w32_m20_lr5e-4 - _step__MIN","FNO_w32_m20_lr5e-4 - _step__MAX","FNO_w64_m20_lr1e-3 - val_nrmse","FNO_w64_m20_lr1e-3 - val_nrmse__MIN","FNO_w64_m20_lr1e-3 - val_nrmse__MAX","FNO_w64_m20_lr1e-3 - _step","FNO_w64_m20_lr1e-3 - _step__MIN","FNO_w64_m20_lr1e-3 - _step__MAX","FNO_w32_m20_lr1e-3 - val_nrmse","FNO_w32_m20_lr1e-3 - val_nrmse__MIN","FNO_w32_m20_lr1e-3 - val_nrmse__MAX","FNO_w32_m20_lr1e-3 - _step","FNO_w32_m20_lr1e-3 - _step__MIN","FNO_w32_m20_lr1e-3 - _step__MAX","FNO_w32_m12_lr1e-3 - val_nrmse","FNO_w32_m12_lr1e-3 - val_nrmse__MIN","FNO_w32_m12_lr1e-3 - val_nrmse__MAX","FNO_w32_m12_lr1e-3 - _step","FNO_w32_m12_lr1e-3 - _step__MIN","FNO_w32_m12_lr1e-3 - _step__MAX","FNO_w64_m12_lr5e-4 - val_nrmse","FNO_w64_m12_lr5e-4 - val_nrmse__MIN","FNO_w64_m12_lr5e-4 - val_nrmse__MAX","FNO_w64_m12_lr5e-4 - _step","FNO_w64_m12_lr5e-4 - _step__MIN","FNO_w64_m12_lr5e-4 - _step__MAX","FNO_w64_m20_lr5e-4 - val_nrmse","FNO_w64_m20_lr5e-4 - val_nrmse__MIN","FNO_w64_m20_lr5e-4 - val_nrmse__MAX","FNO_w64_m20_lr5e-4 - _step","FNO_w64_m20_lr5e-4 - _step__MIN","FNO_w64_m20_lr5e-4 - _step__MAX"
"0","0.016015296847633788","0.010885675637725672","0.021144918057541907","0","0","0","0.029412171711996657","0.026929526047015484","0.03189481737697783","0","0","0","0.01565085556872326","0.014799442073684528","0.016502269063761996","0","0","0","0.02621268112486674","0.021112505300827554","0.031312856948905926","0","0","0","0.018326378781691285","0.018326378781691285","0.018326378781691285","0","0","0","0.016735348136284234","0.016735348136284234","0.016735348136284234","0","0","0","0.006958338260604925","0.006958338260604925","0.006958338260604925","0","0","0","0.005115457576202469","0.005115457576202469","0.005115457576202469","0","0","0","0.006095567018227892","0.006095567018227892","0.006095567018227892","0","0","0","0.017570209986547385","0.017570209986547385","0.017570209986547385","0","0","0","0.018118657645957967","0.018118657645957967","0.018118657645957967","0","0","0","0.005152251231455547","0.005152251231455547","0.005152251231455547","0","0","0"
"1","0.013603812400708718","0.011472007951076411","0.015735616850341024","1","1","1","0.01603271479095601","0.015124014938718702","0.016941414643193316","1","1","1","0.013664501796310848","0.012863542844592794","0.014465460748028902","1","1","1","0.011166954644458608","0.010399486018241914","0.011934423270675303","1","1","1","0.017351292799358355","0.017351292799358355","0.017351292799358355","1","1","1","0.012748848498324675","0.012748848498324675","0.012748848498324675","1","1","1","0.005184175168089797","0.005184175168089797","0.005184175168089797","1","1","1","0.004501201118131174","0.004501201118131174","0.004501201118131174","1","1","1","0.004785519060421666","0.004785519060421666","0.004785519060421666","1","1","1","0.014261776667111125","0.014261776667111125","0.014261776667111125","1","1","1","0.016924656659044735","0.016924656659044735","0.016924656659044735","1","1","1","0.004515440001843805","0.004515440001843805","0.004515440001843805","1","1","1"
"2","0.0113133283194863","0.008798824280408993","0.013827832358563604","2","2","2","0.016597427704880027","0.016566881538580165","0.016627973871179886","2","2","2","0.01995931698317908","0.011943118223931891","0.02797551574242627","2","2","2","0.02669731999513196","0.016168966295163324","0.037225673695100596","2","2","2","0.015062466275198328","0.015062466275198328","0.015062466275198328","2","2","2","0.010528267298373709","0.010528267298373709","0.010528267298373709","2","2","2","0.004761688436947169","0.004761688436947169","0.004761688436947169","2","2","2","0.004288392588553344","0.004288392588553344","0.004288392588553344","2","2","2","0.00450571619425586","0.00450571619425586","0.00450571619425586","2","2","2","0.006623779963473418","0.006623779963473418","0.006623779963473418","2","2","2","0.012529422271928173","0.012529422271928173","0.012529422271928173","2","2","2","0.004338333246075302","0.004338333246075302","0.004338333246075302","2","2","2"
"3","0.015432895304052376","0.014484311522561714","0.01638147908554304","3","3","3","0.013383231542867385","0.009295656505766456","0.017470806579968315","3","3","3","0.011107874551410872","0.010719027501628077","0.011496721601193667","3","3","3","0.010991204158614383","0.01005370846943804","0.011928699847790727","3","3","3","0.012794071054257498","0.012794071054257498","0.012794071054257498","3","3","3","0.007134880804873866","0.007134880804873866","0.007134880804873866","3","3","3","0.004590697739376155","0.004590697739376155","0.004590697739376155","3","3","3","0.0041585983408535","0.0041585983408535","0.0041585983408535","3","3","3","0.004374704232290845","0.004374704232290845","0.004374704232290845","3","3","3","0.006079564270980519","0.006079564270980519","0.006079564270980519","3","3","3","0.0043530309061445525","0.0043530309061445525","0.0043530309061445525","3","3","3","0.004243911868189833","0.004243911868189833","0.004243911868189833","3","3","3"
"4","0.01430286294523558","0.01125333941558753","0.01735238647488363","4","4","4","0.009042868842056559","0.00786999699322541","0.010215740690887706","4","4","4","0.015388887872679467","0.010555733669480663","0.02022204207587827","4","4","4","0.020436452984512767","0.01500774514889973","0.025865160820125802","4","4","4","0.00936121196468915","0.00936121196468915","0.00936121196468915","4","4","4","0.0032025574695067538","0.0032025574695067538","0.0032025574695067538","4","4","4","0.004490657722394617","0.004490657722394617","0.004490657722394617","4","4","4","0.004066167320724737","0.004066167320724737","0.004066167320724737","4","4","4","0.004286176969291517","0.004286176969291517","0.004286176969291517","4","4","4","0.0013861159709756452","0.0013861159709756452","0.0013861159709756452","4","4","4","0.0020199918789514824","0.0020199918789514824","0.0020199918789514824","4","4","4","0.004172830512472914","0.004172830512472914","0.004172830512472914","4","4","4"
"5","0.006678108690146563","0.0064173869308701325","0.006938830449422993","5","5","5","0.01974853278177739","0.012016172806498098","0.02748089275705668","5","5","5","0.011964218213902844","0.011517694328505934","0.012410742099299753","5","5","5","0.028791336559810525","0.022457678122388806","0.03512499499723224","5","5","5","0.004486005220482228","0.004486005220482228","0.004486005220482228","5","5","5","0.0025457952620084484","0.0025457952620084484","0.0025457952620084484","5","5","5","0.0044175662340287785","0.0044175662340287785","0.0044175662340287785","5","5","5","0.004055398480646724","0.004055398480646724","0.004055398480646724","5","5","5","0.004213894593123735","0.004213894593123735","0.004213894593123735","5","5","5","0.0015579576509793295","0.0015579576509793295","0.0015579576509793295","5","5","5","0.001742641713635916","0.001742641713635916","0.001742641713635916","5","5","5","0.004107083571057744","0.004107083571057744","0.004107083571057744","5","5","5"
"6","0.013329530580460661","0.009672953398681126","0.016986107762240195","6","6","6","0.01401603917242742","0.008151103359607099","0.01988097498524774","6","6","6","0.011578823808306382","0.007612984147539899","0.015544663469072866","6","6","6","0.01820669967989706","0.014087586138008928","0.022325813221785187","6","6","6","0.0023219868329359345","0.0023219868329359345","0.0023219868329359345","6","6","6","0.0031593681364520195","0.0031593681364520195","0.0031593681364520195","6","6","6","0.004354623153497196","0.004354623153497196","0.004354623153497196","6","6","6","0.00407711475761893","0.00407711475761893","0.00407711475761893","6","6","6","0.004143850849312873","0.004143850849312873","0.004143850849312873","6","6","6","0.0034810952396572004","0.0034810952396572004","0.0034810952396572004","6","6","6","0.0012723430812621684","0.0012723430812621684","0.0012723430812621684","6","6","6","0.004060016487913629","0.004060016487913629","0.004060016487913629","6","6","6"
"7","0.014164500824101497","0.010489348424998528","0.017839653223204466","7","7","7","0.010228191248135517","0.008732531191152663","0.011723851305118368","7","7","7","0.014634229079963057","0.007618452913693489","0.021650005246232625","7","7","7","0.014703922805039245","0.011197403421842613","0.01821044218823588","7","7","7","0.0044616252623864115","0.0044616252623864115","0.0044616252623864115","7","7","7","0.0015111485434741788","0.0015111485434741788","0.0015111485434741788","7","7","7","0.004286553466441167","0.004286553466441167","0.004286553466441167","7","7","7","0.0038731460419534906","0.0038731460419534906","0.0038731460419534906","7","7","7","0.00408723949671843","0.00408723949671843","0.00408723949671843","7","7","7","0.0011712979576036196","0.0011712979576036196","0.0011712979576036196","7","7","7","0.0010134388719102586","0.0010134388719102586","0.0010134388719102586","7","7","7","0.0053006079779263655","0.0053006079779263655","0.0053006079779263655","7","7","7"
"8","0.010261434506042146","0.007327401384916957","0.013195467627167336","8","8","8","0.010374911365162102","0.00889344184025208","0.011856380890072123","8","8","8","0.011343607267627686","0.010666232013309294","0.01202098252194608","8","8","8","0.010842850260390825","0.006374570026856624","0.015311130493925027","8","8","8","0.0015073532925667299","0.0015073532925667299","0.0015073532925667299","8","8","8","0.0013429420990183766","0.0013429420990183766","0.0013429420990183766","8","8","8","0.0043877161342216415","0.0043877161342216415","0.0043877161342216415","8","8","8","0.003905436324035646","0.003905436324035646","0.003905436324035646","8","8","8","0.004069991205516129","0.004069991205516129","0.004069991205516129","8","8","8","0.0009205825187614405","0.0009205825187614405","0.0009205825187614405","8","8","8","0.0035770181223658696","0.0035770181223658696","0.0035770181223658696","8","8","8","0.003990906977774633","0.003990906977774633","0.003990906977774633","8","8","8"
"9","0.009822329738394477","0.0029509420138126687","0.016693717462976286","9","9","9","0.008458311440983067","0.008312072830583238","0.008604550051382897","9","9","9","0.02316270481960768","0.005606463238985443","0.04071894640022992","9","9","9","0.013304811762360159","0.009225418945443046","0.017384204579277272","9","9","9","0.001206265579254875","0.001206265579254875","0.001206265579254875","9","9","9","0.0008533077230219918","0.0008533077230219918","0.0008533077230219918","9","9","9","0.004152618955672245","0.004152618955672245","0.004152618955672245","9","9","9","0.005379449087623621","0.005379449087623621","0.005379449087623621","9","9","9","0.00411207042920169","0.00411207042920169","0.00411207042920169","9","9","9","0.0007835104672289653","0.0007835104672289653","0.0007835104672289653","9","9","9","0.0019589285523362136","0.0019589285523362136","0.0019589285523362136","9","9","9","0.0038480252381756994","0.0038480252381756994","0.0038480252381756994","9","9","9"
"10","0.012815566976309006","0.010180529949763801","0.01545060400285421","10","10","10","0.010708803653808458","0.009615063181638352","0.011802544125978566","10","10","10","0.023441897196683784","0.01994180143382286","0.026941992959544702","10","10","10","0.008835012874526023","0.006662805567558375","0.01100722018149367","10","10","10","0.0010020725305500708","0.0010020725305500708","0.0010020725305500708","10","10","10","0.003970039964145038","0.003970039964145038","0.003970039964145038","10","10","10","0.004472639765933248","0.004472639765933248","0.004472639765933248","10","10","10","0.00591086034028808","0.00591086034028808","0.00591086034028808","10","10","10","0.004063880085328057","0.004063880085328057","0.004063880085328057","10","10","10","0.0025405318381984724","0.0025405318381984724","0.0025405318381984724","10","10","10","0.0008297619514133027","0.0008297619514133027","0.0008297619514133027","10","10","10","0.004896501730556137","0.004896501730556137","0.004896501730556137","10","10","10"
"11","0.01580941161152227","0.004213560166900143","0.027405263056144394","11","11","11","0.010400284920173463","0.009421187792933243","0.011379382047413683","11","11","11","0.008048348835858008","0.007364073165469557","0.00873262450624646","11","11","11","0.007837587080473092","0.006869115355350306","0.008806058805595878","11","11","11","0.001489195938399233","0.001489195938399233","0.001489195938399233","11","11","11","0.005148208383013683","0.005148208383013683","0.005148208383013683","11","11","11","0.004121267565303236","0.004121267565303236","0.004121267565303236","11","11","11","0.0034712641971311503","0.0034712641971311503","0.0034712641971311503","11","11","11","0.003940943337154169","0.003940943337154169","0.003940943337154169","11","11","11","0.0006624101873621504","0.0006624101873621504","0.0006624101873621504","11","11","11","0.013993511239260984","0.013993511239260984","0.013993511239260984","11","11","11","0.005381120334556498","0.005381120334556498","0.005381120334556498","11","11","11"
"12","0.007689360176367354","0.006525446875077998","0.00885327347765671","12","12","12","0.010437760149283003","0.00545456073892537","0.015420959559640636","12","12","12","0.014566864809764126","0.01358903242286546","0.015544697196662792","12","12","12","0.018564405548243436","0.008709608982859945","0.028419202113626925","12","12","12","0.003764689210059544","0.003764689210059544","0.003764689210059544","12","12","12","0.004687563110531473","0.004687563110531473","0.004687563110531473","12","12","12","0.005202014442030454","0.005202014442030454","0.005202014442030454","12","12","12","0.0036043595076978574","0.0036043595076978574","0.0036043595076978574","12","12","12","0.0038744041073404574","0.0038744041073404574","0.0038744041073404574","12","12","12","0.0025552593334435135","0.0025552593334435135","0.0025552593334435135","12","12","12","0.004236872839324313","0.004236872839324313","0.004236872839324313","12","12","12","0.003775973917139363","0.003775973917139363","0.003775973917139363","12","12","12"
"13","0.015298081313379886","0.009975885863821565","0.020620276762938206","13","13","13","0.007317252307158946","0.005606385070739166","0.009028119543578727","13","13","13","0.011346826884049945","0.009585647866632675","0.013108005901467216","13","13","13","0.007574334127851333","0.00563224926990874","0.009516418985793926","13","13","13","0.0007069865334493342","0.0007069865334493342","0.0007069865334493342","13","13","13","0.0016476185321007953","0.0016476185321007953","0.0016476185321007953","13","13","13","0.0038251978976572036","0.0038251978976572036","0.0038251978976572036","13","13","13","0.005694411292192212","0.005694411292192212","0.005694411292192212","13","13","13","0.0039346458081818796","0.0039346458081818796","0.0039346458081818796","13","13","13","0.0006296883404692007","0.0006296883404692007","0.0006296883404692007","13","13","13","0.0009535246195151625","0.0009535246195151625","0.0009535246195151625","13","13","13","0.004397802337707003","0.004397802337707003","0.004397802337707003","13","13","13"
"14","0.01192666768479201","0.007919352078821761","0.015933983290762257","14","14","14","0.01190172947451838","0.011055062679242503","0.012748396269794257","14","14","14","0.009454517856674508","0.00643313225884379","0.012475903454505227","14","14","14","0.008804294899208871","0.008524730167368804","0.009083859631048938","14","14","14","0.0019445482975706185","0.0019445482975706185","0.0019445482975706185","14","14","14","0.0014215739518175462","0.0014215739518175462","0.0014215739518175462","14","14","14","0.005118529180898988","0.005118529180898988","0.005118529180898988","14","14","14","0.0029862562845821027","0.0029862562845821027","0.0029862562845821027","14","14","14","0.0036699614484731586","0.0036699614484731586","0.0036699614484731586","14","14","14","0.0010983188414483394","0.0010983188414483394","0.0010983188414483394","14","14","14","0.0005759550826309786","0.0005759550826309786","0.0005759550826309786","14","14","14","0.003354965903413442","0.003354965903413442","0.003354965903413442","14","14","14"
"15","0.012486298837087637","0.011802158706987196","0.013170438967188077","15","15","15","0.008002414790902036","0.006285385451525267","0.009719444130278804","15","15","15","0.008191203208571654","0.0055887464268213035","0.010793659990322006","15","15","15","0.007045483733727339","0.0055584554286228","0.00853251203883188","15","15","15","0.0006316709808899558","0.0006316709808899558","0.0006316709808899558","15","15","15","0.0023012834492545185","0.0023012834492545185","0.0023012834492545185","15","15","15","0.006299399970773539","0.006299399970773539","0.006299399970773539","15","15","15","0.006751265505363056","0.006751265505363056","0.006751265505363056","15","15","15","0.003696844961631335","0.003696844961631335","0.003696844961631335","15","15","15","0.0009823705628942813","0.0009823705628942813","0.0009823705628942813","15","15","15","0.0027409517591922014","0.0027409517591922014","0.0027409517591922014","15","15","15","0.0032793159848021947","0.0032793159848021947","0.0032793159848021947","15","15","15"
"16","0.01208476412275726","0.010419263310181948","0.013750264935332573","16","16","16","0.012080082478447378","0.010007113401143828","0.014153051555750926","16","16","16","0.01422476899907267","0.005780002467928489","0.022669535530216854","16","16","16","0.00707405608895869","0.006999806889498526","0.007148305288418853","16","16","16","0.0005854829401991964","0.0005854829401991964","0.0005854829401991964","16","16","16","0.0005122726814224287","0.0005122726814224287","0.0005122726814224287","16","16","16","0.0035011523883172707","0.0035011523883172707","0.0035011523883172707","16","16","16","0.004401004950350231","0.004401004950350231","0.004401004950350231","16","16","16","0.003892494348432023","0.003892494348432023","0.003892494348432023","16","16","16","0.0013645673827753842","0.0013645673827753842","0.0013645673827753842","16","16","16","0.0009297200705730385","0.0009297200705730385","0.0009297200705730385","16","16","16","0.0031697958010745925","0.0031697958010745925","0.0031697958010745925","16","16","16"
"17","0.008979220771762126","0.008485259693915859","0.009473181849608391","17","17","17","0.009484149561337897","0.0094015582470349","0.009566740875640896","17","17","17","0.014731707099962271","0.012263063838465448","0.017200350361459095","17","17","17","0.013897163127806107","0.011511122847855822","0.01628320340775639","17","17","17","0.0005691057000383506","0.0005691057000383506","0.0005691057000383506","17","17","17","0.001134419761258149","0.001134419761258149","0.001134419761258149","17","17","17","0.003394763533917307","0.003394763533917307","0.003394763533917307","17","17","17","0.004370554250327905","0.004370554250327905","0.004370554250327905","17","17","17","0.004397654817353911","0.004397654817353911","0.004397654817353911","17","17","17","0.000709841044282575","0.000709841044282575","0.000709841044282575","17","17","17","0.0033494546535236336","0.0033494546535236336","0.0033494546535236336","17","17","17","0.0035285151540730263","0.0035285151540730263","0.0035285151540730263","17","17","17"
"18","0.012411460443257007","0.006050204532506641","0.01877271635400737","18","18","18","0.011110716782213172","0.009774490945224016","0.012446942619202327","18","18","18","0.007902141931135368","0.0039314032272304315","0.011872880635040304","18","18","18","0.01696249892352366","0.014329935898261568","0.019595061948785752","18","18","18","0.0005904545345446495","0.0005904545345446495","0.0005904545345446495","18","18","18","0.0011142390016666357","0.0011142390016666357","0.0011142390016666357","18","18","18","0.0029441528050857453","0.0029441528050857453","0.0029441528050857453","18","18","18","0.0024576003797512295","0.0024576003797512295","0.0024576003797512295","18","18","18","0.0031268849920344315","0.0031268849920344315","0.0031268849920344315","18","18","18","0.0024924160286989862","0.0024924160286989862","0.0024924160286989862","18","18","18","0.0009221858512810174","0.0009221858512810174","0.0009221858512810174","18","18","18","0.004598672790281429","0.004598672790281429","0.004598672790281429","18","18","18"
"19","0.012604203977924916","0.012467476436468356","0.012740931519381474","19","19","19","0.014471605842921632","0.01321155965853871","0.015731652027304553","19","19","19","0.013958136296825359","0.013028371147811413","0.014887901445839303","19","19","19","0.008257558565026869","0.006955944461622304","0.009559172668431435","19","19","19","0.006733481409428127","0.006733481409428127","0.006733481409428127","19","19","19","0.0007742333334464968","0.0007742333334464968","0.0007742333334464968","19","19","19","0.003190182345102261","0.003190182345102261","0.003190182345102261","19","19","19","0.0022337078988163566","0.0022337078988163566","0.0022337078988163566","19","19","19","0.0029179976704570413","0.0029179976704570413","0.0029179976704570413","19","19","19","0.0005070149423226006","0.0005070149423226006","0.0005070149423226006","19","19","19","0.001138667015007417","0.001138667015007417","0.001138667015007417","19","19","19","0.002193336241501469","0.002193336241501469","0.002193336241501469","19","19","19"